countryA,countryB,troopsA,troopsB,modA,modB,winner,gdp_loss_A,gdp_loss_B
GER,RUS,62838,32315,78.2,77.79,GER,6195399284871.22,3193112016059.15
IND,FRA,39400,20352,68.17,65.36,FRA,2454511820237.74,1239148381185.51
BRA,RUS,92277,44497,60.12,61.97,BRA,6428125823029.1,2545399215906.98
GBR,BRA,128692,85145,79.76,73.85,GBR,5355140954964.43,4617719963291.47
GER,USA,27565,186046,68.17,64.82,USA,1486795911811.03,16735370970327.74
CAN,JPN,49585,108322,58.34,71.04,JPN,3996270189195.37,3934049569871.76
RUS,CAN,175905,130659,85.0,91.72,CAN,10947041460686.81,6074845893952.63
GER,GBR,131559,37228,91.84,73.6,GER,16982900822276.97,4097481689339.05
BRA,CAN,22094,125152,63.69,82.04,CAN,1519497724190.9,5350491354232.8
GBR,GER,172352,18882,59.32,54.51,GBR,14343556646052.42,674252558541.95
IND,FRA,56647,157340,53.76,88.11,FRA,1921311501025.79,19170978658538.64
BRA,RUS,185450,80846,76.4,74.15,BRA,13656434533047.26,6688024212950.9
BRA,JPN,160585,34463,91.56,68.05,BRA,11711066711206.3,2638233081764.43
RUS,GBR,141226,86789,62.54,80.55,RUS,12249574833941.6,6821116120543.19
FRA,RUS,105798,95940,73.03,55.1,FRA,6502414037310.48,3439236308562.34
GBR,GER,169206,190386,58.04,70.7,GBR,10689517318994.22,11671708783108.02
CHN,JPN,118050,19827,70.21,90.55,JPN,11003891890114.52,2186534712099.91
BRA,CAN,149750,174134,50.77,63.1,BRA,5542868110289.78,10827578686718.93
FRA,GER,147366,100690,95.54,95.7,GER,7683386584681.05,11851049704955.55
CHN,FRA,19574,148312,83.83,80.18,FRA,1631245017256.74,6032233638989.4
GBR,CHN,45183,138743,66.64,77.04,CHN,3564046987276.08,12353571483340.02
USA,RUS,189819,11585,94.06,69.98,USA,21769143007168.58,886055127044.62
CAN,JPN,76606,62532,59.15,87.1,JPN,4155793464027.54,8030315159748.75
FRA,CHN,159710,151613,53.94,78.22,CHN,4984359849072.49,16686772181436.36
JPN,CHN,67194,15427,97.13,89.83,JPN,5894507979045.2,1524790517299.01
USA,IND,188625,102283,65.45,66.58,IND,7678889068612.98,7329362036004.09
CAN,RUS,36082,91156,96.8,85.1,RUS,1998584796413.44,4596830042210.17
RUS,GBR,157378,19033,81.88,97.17,RUS,10353236974007.67,2665218639602.34
GER,BRA,118371,172142,99.0,64.0,GER,14967718731487.36,13295625231791.44
IND,CAN,137899,122458,87.67,99.05,IND,15334040367946.56,12156350662503.36
JPN,CHN,17807,138767,55.27,70.53,CHN,1090604758584.48,13284994563327.43
RUS,GBR,192414,190176,92.61,51.93,RUS,23633240891942.67,12153394085740.96
GBR,CAN,42143,22199,57.39,67.89,GBR,2420743663051.11,1602778217654.54
RUS,CHN,131952,153848,84.61,57.48,RUS,8300143549512.6,9189503329636.04
GER,USA,68414,163799,75.02,65.21,GER,5491566528201.82,15235590731532.27
GBR,JPN,34715,12931,85.39,54.8,JPN,4218762169568.39,920541574109.38
JPN,CAN,82934,90379,88.25,58.91,CAN,3923866947692.68,4808243131174.6
GER,BRA,22202,197265,90.18,56.33,BRA,2933011117870.75,12544574586058.82
CHN,JPN,37987,15699,91.75,52.17,JPN,4336780648161.05,570372191989.01
IND,GBR,176812,198861,92.36,64.81,IND,19372007799909.47,18471885167595.27
JPN,IND,86848,168393,70.63,97.05,JPN,6832216203976.92,19533039915041.38
CHN,RUS,194943,71032,94.46,97.47,RUS,13953414616168.35,10108447890160.33
CAN,BRA,154699,17636,85.98,92.33,CAN,18431588953012.07,1289609741249.99
JPN,CHN,61069,77396,91.95,50.61,JPN,8262556641316.9,3192874718078.85
